Total runtime (s),Hits channel 1,Hits channel 2,Lifetimes (ns),Delta times (ns),Total coincidences
,,,190,-3.5,
,,,4040,1.5,
,,,8690,0,
,,,4890,-1.5,
,,,1440,-3.5,
,,,1690,-2,
,,,140,1.5,
,,,18070,-4,
,,,2350,2,
,,,2820,0.5,
,,,1130,1.5,
,,,480,-2,
,,,1470,3,
,,,2570,1.5,
,,,3190,5.5,
,,,1930,-1.5,
,,,350,-1,
,,,1940,3.5,
,,,1070,-2.5,
,,,1760,-3,
,,,160,-8.5,
,,,1310,-1.5,
,,,190,0.5,
,,,480,-1.5,
,,,500,5,
,,,1460,-2.5,
,,,9920,-1.5,
,,,450,-4,
,,,4850,-5,
,,,1730,-1,
,,,270,-4,
,,,1820,-2,
,,,4320,-2.5,
,,,1710,722.5,
,,,1460,5,
,,,730,-3.5,
,,,6630,2.5,
,,,2150,-1.5,
,,,1270,-3.5,
,,,990,3,
,,,210,-4.5,
,,,830,1.5,
,,,4090,-2.5,
,,,4250,2,
,,,380,-3,
,,,1760,0.5,
,,,11490,-2,
,,,2240,-0.5,
,,,1250,-2,
,,,70,0.5,
,,,4190,-1.5,
,,,1820,-2,
,,,1940,0,
,,,6040,2,
,,,6260,2.5,
,,,3010,0.5,
,,,5810,-4.5,
,,,710,-6,
,,,5090,-0.5,
,,,2490,-1.5,
,,,140,-1,
,,,3200,-7,
,,,8450,-2,
,,,1780,-3.5,
,,,2910,0,
,,,680,-5,
,,,570,-5,
,,,760,-1.5,
,,,2180,-3,
,,,350,4,
,,,3460,-1.5,
,,,890,-1,
,,,650,-6.5,
,,,1190,-5.5,
,,,1350,-4.5,
,,,480,-3,
,,,2850,-3.5,
,,,740,-2,
,,,200,-2,
,,,670,1.5,
,,,1710,-4,
,,,330,-0.5,
,,,3550,-1.5,
,,,11370,-0.5,
,,,4010,-1.5,
,,,1380,-4,
,,,2310,-6.5,
,,,3890,4,
,,,1380,-6.5,
,,,200,-3,
,,,1420,-6.5,
