Total runtime (s),Hits channel 1,Hits channel 2,Lifetimes (ns),Delta times (ns),Total coincidences
,,,2510.0,2.5,
,,,300.0,0.0,
,,,3770.0,-1.0,
,,,5420.0,3.0,
,,,4000.0,-0.5,
,,,340.0,0.0,
,,,330.0,2.0,
,,,18490.0,0.0,
,,,3690.0,-1.5,
,,,2700.0,2.0,
,,,350.0,2.0,
,,,280.0,5.0,
,,,350.0,2.0,
,,,2460.0,4.0,
,,,480.0,-7.0,
,,,2330.0,7.5,
,,,350.0,-2.5,
,,,6500.0,-1.5,
,,,340.0,-2.5,
,,,350.0,0.5,
,,,1870.0,-4.0,
,,,3910.0,-2.0,
,,,7640.0,-4.5,
,,,2730.0,-2.0,
,,,5020.0,0.0,
,,,350.0,3.0,
,,,8270.0,-9.5,
,,,1410.0,-7.0,
,,,170.0,-0.5,
,,,550.0,0.5,
,,,750.0,-1.5,
,,,350.0,0.5,
,,,2200.0,1.0,
,,,4880.0,-4.0,
,,,340.0,2.0,
,,,4500.0,-1.5,
,,,350.0,-7.0,
,,,640.0,-2.0,
,,,350.0,-2.5,
,,,2590.0,-2.5,
,,,700.0,4.5,
,,,1730.0,-1.5,
,,,11730.0,-2.0,
,,,350.0,-1.5,
,,,1070.0,-6.0,
,,,350.0,-4.0,
,,,980.0,2.0,
,,,640.0,0.5,
,,,1130.0,-0.5,
,,,460.0,-1.5,
,,,360.0,4.0,
,,,2350.0,-1.5,
,,,350.0,-1.5,
,,,360.0,3.0,
,,,1060.0,-1.0,
,,,19940.0,-2.5,
,,,350.0,-0.5,
,,,870.0,-1.5,
,,,370.0,0.0,
,,,3640.0,-12.5,
,,,540.0,0.0,
,,,4940.0,-1.0,
,,,350.0,6.5,
,,,16290.0,4.0,
,,,3980.0,-2.5,
,,,3350.0,0.5,
,,,1850.0,-0.5,
,,,2720.0,-3.0,
,,,320.0,-2.5,
,,,1310.0,-3.0,
,,,10610.0,6.5,
,,,1280.0,-2.5,
,,,350.0,0.0,
,,,1810.0,-1.5,
,,,340.0,-3.5,
,,,1700.0,-4.0,
,,,1990.0,-3.5,
,,,810.0,-4.0,
,,,2520.0,-3.0,
,,,350.0,4.0,
,,,3040.0,-4.0,
,,,2420.0,-2.0,
,,,180.0,-2.0,
,,,580.0,-2.0,
,,,1090.0,1.0,
,,,2670.0,-655.0,
,,,5970.0,2.5,
,,,350.0,1.5,
,,,260.0,0.5,
,,,500.0,1.0,
,,,350.0,-0.5,
,,,1900.0,-0.5,
,,,9320.0,4.0,
,,,340.0,0.0,
,,,1760.0,539.5,
,,,340.0,0.0,
,,,5590.0,2.0,
,,,360.0,2.5,
,,,1620.0,-1.0,
,,,880.0,-0.5,
,,,310.0,-4.0,
,,,350.0,-4.5,
,,,2800.0,-3.5,
,,,360.0,-7.0,
,,,350.0,-0.5,
,,,1030.0,-0.5,
,,,15150.0,-11.0,
,,,380.0,-1.0,
,,,2910.0,2.0,
,,,970.0,-5.5,
,,,340.0,-1.0,
,,,3250.0,-4.0,
,,,780.0,0.5,
,,,350.0,-7.0,
,,,13990.0,-1.0,
,,,1840.0,-2.5,
,,,340.0,-1.5,
,,,350.0,-4.0,
,,,350.0,-5.5,
,,,8710.0,-0.5,
,,,15170.0,-3.0,
,,,850.0,-0.5,
,,,350.0,-4.0,
,,,340.0,-6.0,
,,,350.0,5.5,
,,,6820.0,-5.5,
,,,4270.0,-2.0,
,,,4790.0,-2.0,
,,,5590.0,-0.5,
,,,300.0,-16.0,
,,,1210.0,0.5,
,,,350.0,-2.0,
,,,1210.0,-0.5,
,,,340.0,-2.0,
,,,7870.0,-2.0,
,,,710.0,5.5,
,,,340.0,-1.0,
,,,410.0,5.5,
,,,11990.0,-10.0,
,,,17480.0,-1.0,
,,,3420.0,-3.0,
,,,3320.0,-3.0,
,,,350.0,-1.5,
,,,340.0,-2.5,
,,,8390.0,-1.0,
,,,2410.0,1.0,
,,,2400.0,0.0,
,,,280.0,-10.0,
,,,4860.0,-0.5,
,,,2930.0,-197.0,
,,,1410.0,-4.5,
,,,1600.0,-2.0,
,,,2420.0,-5.0,
,,,2250.0,-6.5,
,,,200.0,-3.0,
,,,2250.0,-3.0,
,,,630.0,-2.5,
,,,760.0,0.5,
,,,16040.0,-3.5,
,,,170.0,-1.0,
,,,150.0,7.5,
,,,400.0,1.0,
,,,4010.0,-0.5,
,,,1850.0,-1.5,
,,,220.0,-3.5,
,,,2430.0,0.5,
,,,340.0,-1.5,
,,,1370.0,4.0,
,,,240.0,-1.5,
,,,360.0,-6.5,
,,,420.0,-1.5,
,,,1230.0,4.5,
,,,4410.0,-1.0,
,,,1980.0,-1.5,
,,,450.0,-3.5,
,,,4110.0,2.0,
,,,2360.0,1.0,
,,,340.0,-4.0,
,,,350.0,4.0,
,,,440.0,-6.0,
,,,350.0,-1.5,
,,,2890.0,-8.5,
,,,350.0,2.5,
,,,1910.0,1.0,
,,,10770.0,0.0,
,,,110.0,-5.5,
,,,700.0,3.5,
,,,350.0,-2.5,
,,,7830.0,-0.5,
,,,1400.0,-4.5,
,,,350.0,-6.5,
,,,120.0,-3.5,
,,,18110.0,-5.0,
,,,360.0,-2.5,
,,,2740.0,-8.5,
,,,180.0,-1.5,
,,,130.0,-6.5,
,,,1700.0,1.0,
,,,10020.0,-2.0,
,,,1170.0,-6.0,
,,,1300.0,-8.0,
,,,8550.0,-4.5,
,,,7710.0,0.0,
,,,8180.0,1.5,
,,,6400.0,-3.0,
,,,19140.0,-7.0,
,,,12520.0,6.5,
,,,2390.0,-1.0,
,,,590.0,-2.0,
,,,340.0,-5.5,
,,,970.0,-4.0,
,,,370.0,-3.5,
,,,210.0,3.0,
,,,210.0,1.5,
,,,7770.0,-3.0,
,,,350.0,-4.0,
,,,350.0,-3.0,
,,,14860.0,2.0,
,,,14480.0,3.0,
,,,1120.0,-0.5,
,,,560.0,-5.0,
,,,4830.0,-5.0,
,,,200.0,-3.5,
,,,760.0,0.0,
,,,2540.0,-6.5,
,,,340.0,-3.5,
,,,3040.0,0.0,
,,,730.0,0.0,
,,,2830.0,7.5,
,,,2630.0,-3.5,
,,,550.0,-2.0,
,,,1730.0,-0.5,
,,,370.0,-3.0,
,,,700.0,0.0,
,,,,-4.5,
,,,,-3.0,
,,,,-3.5,
,,,,-1.0,
,,,,-4.0,
,,,,-0.5,
,,,,-2.0,
,,,,-14.5,
,,,,0.5,
,,,,-4.0,
,,,,1.5,
,,,,-6.5,
,,,,-1.0,
,,,,-2.5,
,,,,-5.5,
,,,,-9.5,
,,,,3.0,
,,,,3.0,
,,,,2.5,
,,,,8.0,
,,,,-0.5,
,,,,3.5,
,,,,-1.0,
,,,,4.5,
,,,,1.0,
,,,,-1.0,
,,,,5.0,
,,,,-1.0,
,,,,0.0,
,,,,-3.5,
,,,,-5.5,
,,,,-3.5,
,,,,-0.5,
,,,,-1.5,
,,,,-1.5,
,,,,2.5,
,,,,-5.5,
,,,,496.5,
,,,,-2.5,
,,,,-2.0,
,,,,-4.5,
,,,,2.5,
,,,,9.0,
,,,,-9.5,
,,,,1.0,
,,,,0.5,
,,,,0.0,
,,,,-4.0,
,,,,0.5,
,,,,-8.0,
,,,,4.5,
,,,,-3.5,
,,,,3.0,
,,,,4.5,
,,,,-4.0,
,,,,-10.0,
,,,,-1.0,
,,,,-2.5,
,,,,1.5,
,,,,-1.5,
,,,,-1.5,
,,,,1.0,
,,,,0.5,
,,,,1.0,
,,,,-1.5,
,,,,-0.5,
,,,,-1.5,
,,,,-1.0,
,,,,-0.5,
,,,,-1.0,
,,,,-3.0,
,,,,1.5,
,,,,-4.0,
,,,,-6.0,
,,,,0.0,
,,,,-3.0,
,,,,-2.5,
,,,,0.0,
,,,,5.0,
,,,,-0.5,
,,,,-4.0,
,,,,-1.0,
,,,,-6.0,
,,,,-3.0,
,,,,-4.5,
,,,,1.0,
,,,,6.0,
,,,,7.0,
,,,,-5.0,
,,,,-1.5,
,,,,-9.0,
,,,,-2.5,
,,,,-2.0,
,,,,4.5,
,,,,0.5,
,,,,0.0,
,,,,-2.0,
,,,,-1.0,
,,,,-3.5,
,,,,-2.0,
,,,,7.5,
,,,,1.0,
,,,,-2.5,
,,,,-2.0,
,,,,-2.5,
,,,,-1.5,
,,,,-1.5,
,,,,-2.5,
,,,,3.5,
,,,,-2.0,
,,,,8.0,
,,,,-1.0,
,,,,0.0,
,,,,2.0,
,,,,2.0,
,,,,4.5,
,,,,-9.0,
,,,,1.0,
,,,,1.5,
,,,,1.0,
,,,,-4.5,
,,,,-2.0,
,,,,-4.0,
,,,,-4.5,
,,,,6.5,
,,,,-0.5,
,,,,-8.0,
,,,,-1.5,
,,,,-1.5,
,,,,0.5,
,,,,-1.5,
,,,,-2.0,
,,,,-0.5,
,,,,-3.0,
,,,,-9.5,
,,,,-4.5,
,,,,-5.5,
,,,,2.5,
,,,,-4.5,
,,,,-3.5,
,,,,-1.0,
,,,,0.0,
,,,,-3.5,
,,,,1.0,
,,,,-10.5,
,,,,8.0,
,,,,-3.5,
,,,,-6.0,
,,,,-1.0,
,,,,-5.0,
,,,,-8.0,
,,,,0.0,
,,,,-5.5,
,,,,-1.5,
,,,,-2.0,
,,,,-2.0,
,,,,-3.0,
,,,,-1.0,
,,,,-2.0,
,,,,-0.5,
,,,,1.5,
,,,,0.5,
,,,,-6.0,
,,,,0.5,
,,,,-0.5,
,,,,-0.5,
,,,,-0.5,
,,,,-0.5,
,,,,-1.0,
,,,,-3.5,
,,,,-2.5,
,,,,0.0,
,,,,3.0,
,,,,-4.5,
,,,,-1.0,
